country_name,power_index,available_manpower,purchasing_power_parity,defense_budget,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,aircraft_total,attack,fighters,transport,helicopters,special_mission,trainers,attack_helicopters,tanker,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt
Afghanistan,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Albania,1.7258,1522479,51360000000,720037190,7500,0,650,2335,1000,20,0,0,1,19,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0,10,0,270,5363000000
Algeria,0.4849,22570787,722912000000,25000000000,130000,150000,14000,280000,15000,620,42,111,63,300,10,90,74,4,111,0.0,0.0,0.0,8.0,8.0,6.0,75.0,3.0,1485,224,483,188,4764000000
Angola,1.1045,7440412,278239000000,31200000000,107000,0,6000,100000,1500,278,6,67,32,115,2,56,14,0,32,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,319,25,575,116,45299000000
Argentina,0.5983,20677529,1213000000000,993919790,108000,12370,14000,108000,18370,241,11,23,25,96,13,71,0,2,42,0.0,0.0,3.0,0.0,6.0,2.0,13.0,0.0,362,20,172,27,74362000000
Armenia,2.2016,1666988,60909000000,1480000000,65000,210000,5000,65000,0,69,14,4,3,36,0,12,20,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,104,193,100,6002000000
Australia,0.3208,11242811,1635000000000,57350000000,58910,33270,21584,44235,20607,348,71,24,37,72,31,107,22,6,45,0.0,2.0,3.0,7.0,0.0,6.0,13.0,3.0,46,0,48,8,3770254730000
Austria,1.3759,4035592,581131000000,6103900800,25000,125600,4300,141000,0,90,0,15,11,41,0,23,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,30,0,0,693000000000
Azerbaijan,1.1991,5218617,225198000000,5100000000,128000,306000,15000,110000,3000,159,20,12,4,87,0,36,16,0,32,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,1354,135,651,696,12378000000
Bahrain,1.6731,846120,93937000000,997015509,18400,110000,1500,130000,700,137,0,28,3,66,0,40,34,0,64,0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,150,38,26,18,54450000000
Bangladesh,0.6517,82661620,1473000000000,3340000000,204000,0,19000,173408,22000,212,0,41,17,67,4,83,0,0,121,0.0,0.0,0.0,7.0,6.0,2.0,61.0,5.0,320,36,487,103,58020000000
Belarus,1.4072,5035769,265220000000,1034784000,63000,365400,11300,18000,0,194,50,43,4,70,0,27,31,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577,357,190,206,18010000000
Belgium,1.2201,4910830,749229000000,14900000000,26390,6600,5700,11547,1355,104,12,44,7,14,0,27,0,0,9,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0,0,0,0,1594190730000
Belize,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Benin,3.8963,5584880,56424000000,137690000,4750,0,300,4750,200,7,0,0,1,5,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,16,0,6309000000
Bhutan,5.7991,203446,11517000000,26600000,16000,50000,0,66000,0,2,0,0,0,2,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2827000000
Bolivia,1.8301,5417269,122200000000,467670000,40000,40000,10000,43000,4500,67,0,0,15,29,2,20,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,58,0,11174000000
Bosnia-herzegovina,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Botswana,2.9993,1029281,45553000000,581000000,12000,0,500,12000,0,45,0,10,9,16,0,10,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,12,36,20,1761000000
Brazil,0.2374,112226271,4165000000000,26400000000,376000,1340000,81000,1212217,80505,495,30,44,107,186,25,124,0,0,69,0.0,1.0,0.0,8.0,2.0,6.0,22.0,4.0,294,149,412,82,198582000000
Bulgaria,1.2522,3187850,219645000000,2485350000,36950,3000,8500,39950,4450,71,5,11,6,23,0,26,4,0,45,0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,334,48,24,24,14277000000
Burundi,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Cambodia,1.8434,8190561,123676000000,750000000,124300,0,1500,75000,2800,24,0,0,4,20,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,520,30,525,521,8019000000
Cameroon,2.1689,10528476,143264000000,835694942,38000,0,420,47000,1000,35,0,0,6,21,2,6,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,18,52,20,11112000000
Canada,0.5269,16681770,2341000000000,45824959620,63500,23000,15560,49300,16300,354,0,66,29,146,34,95,0,6,67,0.0,0.0,0.0,12.0,0.0,4.0,17.0,0.0,74,0,0,0,2571113270000
Central-african-republic,4.2381,2203873,5926000000,300000000,30000,0,100,30000,0,8,8,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,724179000
Chad,1.8594,6873694,52895000000,706800000,37750,0,350,37750,0,40,7,0,7,16,2,8,3,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,10,13,16,2286000000
Chile,0.8704,8959033,596556000000,6800000000,80000,40000,7645,80000,25000,274,0,45,33,86,18,92,0,5,130,0.0,0.0,0.0,8.0,0.0,4.0,40.0,0.0,386,48,249,9,235950000000
China,0.0919,764123366,33598000000000,303000000000,2035000,510000,403000,2545000,384000,3529,371,1443,287,1007,105,401,281,9,841,3.0,4.0,53.0,46.0,50.0,61.0,150.0,36.0,5870,2940,1400,2770,488114000000
Colombia,0.7551,24298295,978024000000,15800000000,429000,998000,25000,2048583,35100,430,24,16,82,255,27,72,0,1,213,0.0,0.0,0.0,9.0,2.0,4.0,158.0,0.0,0,6,110,0,108027000000
Croatia,1.5432,2033557,164825000000,2744000000,14325,20100,1500,7000,1365,67,0,12,0,37,0,26,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,55,25,42,42,60500000000
Cuba,1.3345,5921661,81165000000,3301500000,50000,40000,4120,90000,3550,20,0,11,4,13,0,3,4,0,19,0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,194,140,364,200,36372600000
Cyprus,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
